rep_id,rep_name,territory_id,region,experience_years,education,total_revenue,total_units,products_sold,total_calls,total_conversions,conversion_rate_pct,unique_hcps_visited,avg_call_duration_min,tier_a_calls,tier_b_calls,tier_c_calls,tier_a_call_pct,avg_monthly_calls,revenue_per_call,revenue_per_hcp,productivity_index,performance_quartile
R051,Matthew Lucas,T010,West,5,MBA,628788.4700000002,907.0,6,120,13.0,10.8,5,25.541666666666668,42.0,30.0,48.0,35.0,5.0,5239.9,125757.69,96.0,4
R037,Matthew Arroyo,T020,Southwest,13,B.Sc Life Sciences,570998.68,871.0,6,281,58.0,20.6,12,24.95373665480427,74.0,171.0,36.0,26.3,11.7,2032.02,47583.22,37.2,4
R039,Tanya Campos,T047,Southeast,4,B.Pharm,562124.44,757.0,6,357,67.0,18.8,17,24.80952380952381,112.0,116.0,129.0,31.4,14.9,1574.58,33066.14,28.8,4
R048,Dana Kennedy,T023,Southwest,12,M.Sc Pharmacology,554824.04,833.0,6,312,59.0,18.9,13,24.28205128205128,66.0,173.0,73.0,21.2,13.0,1778.28,42678.77,32.6,4
R049,Brandon Hopkins,T011,Southwest,1,MBA,475821.9,654.0,6,288,39.0,13.5,12,24.69097222222222,0.0,142.0,146.0,0.0,12.0,1652.16,39651.83,30.3,4
R010,Andrea Reid,T020,Southwest,1,B.Sc Life Sciences,462114.8,680.0,6,254,43.0,16.9,12,25.62992125984252,61.0,144.0,49.0,24.0,10.6,1819.35,38509.57,33.3,4
R001,James Howard,T010,West,3,B.Sc Life Sciences,446154.62,729.0,6,120,23.0,19.2,5,24.891666666666666,56.0,22.0,42.0,46.7,5.0,3717.96,89230.92,68.1,4
R033,Brian Cox DVM,T037,Northwest,14,M.Sc Pharmacology,393088.91000000003,613.0,6,72,18.0,25.0,3,23.958333333333332,0.0,34.0,38.0,0.0,3.0,5459.57,131029.64,100.0,4
R057,Alexis Davis,T024,Southeast,14,B.Pharm,383081.7099999999,545.0,6,189,51.0,27.0,9,23.64021164021164,71.0,46.0,72.0,37.6,7.9,2026.89,42564.63,37.1,4
R074,Alexandra Howell,T020,Southwest,10,MBA,373947.39999999997,600.0,6,284,56.0,19.7,12,24.947183098591548,81.0,161.0,42.0,28.5,11.8,1316.72,31162.28,24.1,4
R071,Dean Santiago,T017,Northwest,17,M.Sc Pharmacology,357447.93,530.0,6,240,54.0,22.5,10,25.4875,92.0,37.0,111.0,38.3,10.0,1489.37,35744.79,27.3,4
R072,Derek Anderson,T009,Midwest,5,B.Sc Life Sciences,332984.06,484.0,6,238,43.0,18.1,15,25.256302521008404,76.0,77.0,85.0,31.9,9.9,1399.09,22198.94,25.6,4
R028,Valerie Gill,T047,Southeast,5,M.Sc Pharmacology,324189.64,460.0,6,211,33.0,15.6,17,25.118483412322274,61.0,57.0,93.0,28.9,8.8,1536.44,19069.98,28.1,4
R038,Joseph Obrien,T018,Northwest,13,B.Sc Life Sciences,287137.6500000001,409.0,6,168,36.0,21.4,7,22.726190476190474,81.0,0.0,87.0,48.2,7.0,1709.15,41019.66,31.3,4
R021,Brittany Moore,T033,Southwest,16,B.Pharm,282674.98000000004,370.0,6,168,24.0,14.3,7,25.601190476190474,0.0,59.0,109.0,0.0,7.0,1682.59,40382.14,30.8,4
R024,Terri Frazier,T044,Midwest,5,B.Sc Life Sciences,280764.57,370.0,6,216,36.0,16.7,9,23.01388888888889,73.0,93.0,50.0,33.8,9.0,1299.84,31196.06,23.8,4
R027,Aaron Bowen,T045,West,3,MBA,267983.31,344.0,6,302,44.0,14.6,13,23.801324503311257,84.0,148.0,70.0,27.8,12.6,887.36,20614.1,16.3,4
