hcp_id,hcp_name,territory_id,specialty,prescriber_tier,monthly_rx_volume,hospital_affiliation,digital_engagement,total_calls_received,unique_reps_visited,months_contacted,avg_monthly_calls,conversion_rate,coverage_status,estimated_monthly_revenue_potential
H0098,Dr. Moore,T027,Internist,A,118,Academic,High,36,1,19,1.5,0.3055555555555556,Undercovered,49560.0
H0304,Dr. Ray,T012,Immunologist,A,116,Private Practice,High,86,2,24,3.5833333333333335,0.18604651162790697,Adequately Covered,48720.0
H0417,Dr. Mccoy,T005,Neurologist,A,115,Community,High,0,0,0,0.0,0.0,Critical Gap,48300.0
H0059,Dr. Young,T017,Endocrinologist,A,113,Community,Medium,43,1,21,1.7916666666666667,0.3023255813953488,Undercovered,47460.0
H0226,Dr. Petersen,T028,Immunologist,A,112,Community,Medium,227,8,24,9.458333333333334,0.2599118942731278,Adequately Covered,47040.0
H0337,Dr. Campbell,T050,General Practitioner,A,112,Private Practice,High,76,2,24,3.1666666666666665,0.2631578947368421,Adequately Covered,47040.0
H0318,Dr. Evans,T023,General Practitioner,A,111,Group Practice,Low,34,1,19,1.4166666666666667,0.2647058823529412,Undercovered,46620.0
H0008,Dr. Hartman,T008,Neurologist,A,110,Community,Medium,114,4,24,4.75,0.24561403508771928,Adequately Covered,46200.0
H0054,Dr. Campbell,T001,Internist,A,109,Group Practice,Low,72,2,22,3.0,0.3194444444444444,Adequately Covered,45780.0
H0149,Dr. Meadows,T015,Pulmonologist,A,109,Academic,Low,46,1,22,1.9166666666666667,0.2608695652173913,Undercovered,45780.0
H0021,Dr. Gonzalez,T022,Endocrinologist,A,108,Community,High,0,0,0,0.0,0.0,Critical Gap,45360.0
H0035,Dr. Ortega,T028,Oncologist,A,107,Academic,Medium,228,8,24,9.5,0.2324561403508772,Adequately Covered,44940.0
H0409,Dr. Ramos,T038,Endocrinologist,A,107,Community,Low,58,2,24,2.4166666666666665,0.3793103448275862,Adequately Covered,44940.0
H0401,Dr. Bryan,T001,Neurologist,A,106,Academic,Medium,50,2,22,2.0833333333333335,0.18,Adequately Covered,44520.0
H0443,Dr. Dickerson,T021,Cardiologist,A,106,Group Practice,High,30,2,16,1.25,0.2,Undercovered,44520.0
H0444,Dr. Morgan,T022,Pulmonologist,A,105,Private Practice,Low,0,0,0,0.0,0.0,Critical Gap,44100.0
H0411,Dr. Adams,T038,Cardiologist,A,104,Community,Medium,65,2,23,2.7083333333333335,0.24615384615384617,Adequately Covered,43680.0
