hcp_id,hcp_name,territory_id,specialty,prescriber_tier,monthly_rx_volume,years_in_practice,hospital_affiliation,digital_engagement
H0001,Dr. Wiley,T017,Cardiologist,C,3,25,Private Practice,Low
H0002,Dr. Green,T041,Endocrinologist,B,38,18,Private Practice,High
H0003,Dr. Carpenter,T006,Pulmonologist,C,12,25,Community,Low
H0004,Dr. Terrell,T043,Endocrinologist,C,5,22,Private Practice,High
H0005,Dr. Johnson,T006,Immunologist,C,9,14,Community,Medium
H0006,Dr. Carlson,T020,Neurologist,A,54,12,Group Practice,High
H0007,Dr. Reed,T039,Endocrinologist,B,30,20,Group Practice,Low
H0008,Dr. Hartman,T008,Neurologist,A,110,12,Community,Medium
H0009,Dr. Graham,T012,Endocrinologist,B,35,14,Group Practice,Low
H0010,Dr. Joyce,T035,Cardiologist,C,11,2,Private Practice,Medium
H0011,Dr. Wilson,T035,Cardiologist,A,65,20,Community,Medium
H0012,Dr. Lam,T031,Internist,B,26,13,Community,High
H0013,Dr. Lee,T034,Cardiologist,C,9,9,Community,Medium
H0014,Dr. Williams,T026,Internist,C,17,9,Private Practice,Low
H0015,Dr. Graham,T013,Cardiologist,C,15,13,Group Practice,Medium
H0016,Dr. Meyer,T017,Cardiologist,A,96,34,Private Practice,Low
H0017,Dr. Drake,T009,Cardiologist,B,19,27,Group Practice,Low
H0018,Dr. Mcdaniel,T047,Neurologist,B,40,29,Private Practice,Medium
H0019,Dr. Bentley,T028,Pulmonologist,A,60,6,Private Practice,Medium
H0020,Dr. Mclaughlin,T020,Internist,B,32,9,Private Practice,High
H0021,Dr. Gonzalez,T022,Endocrinologist,A,108,26,Community,High
H0022,Dr. Reynolds,T048,Cardiologist,A,42,28,Private Practice,High
H0023,Dr. Rush,T008,Neurologist,B,37,24,Private Practice,Medium
H0024,Dr. Mccall,T028,Neurologist,A,76,31,Academic,Medium
H0025,Dr. Hanson,T024,Neurologist,C,9,24,Private Practice,Medium
H0026,Dr. Alvarado,T029,Internist,C,2,21,Academic,Medium
H0027,Dr. Martinez,T002,Pulmonologist,C,4,19,Private Practice,Medium
H0028,Dr. Mccullough,T045,Internist,B,33,19,Private Practice,Medium
H0029,Dr. Hunter,T047,Endocrinologist,A,51,3,Community,Low
H0030,Dr. Estrada,T027,Pulmonologist,A,100,5,Community,High
H0031,Dr. Nguyen,T034,Oncologist,C,10,31,Community,High
H0032,Dr. Terry,T047,General Practitioner,C,2,34,Group Practice,Low
H0033,Dr. Spencer,T035,Neurologist,A,89,19,Academic,Medium
H0034,Dr. Lee,T008,Internist,C,6,20,Group Practice,Medium
H0035,Dr. Ortega,T028,Oncologist,A,107,29,Academic,Medium
H0036,Dr. Gray,T029,Immunologist,B,24,21,Group Practice,Medium
H0037,Dr. Adkins,T021,Internist,C,10,34,Group Practice,High
H0038,Dr. Thompson,T036,Cardiologist,C,8,13,Community,High
H0039,Dr. Carroll,T047,General Practitioner,C,7,16,Private Practice,Medium
H0040,Dr. Sullivan,T047,Cardiologist,C,8,3,Community,Medium
